ID,Note,List status,Position keyword,City,Email from,Email,Phone,Company name,Company website,Vanancy link,Additional info,Industry,Vacancy title,Company address,Company size,Company turnover,Vacancy posted,Parsed date,Marketing email IDs
6443a210f06ef68545e13849,,white,calgary,cleaner,jobsite,peopleandculture@ultrashine.com,,Ultra Shine Group Inc,http://www.ultrashine.com/,https://www.jobbank.gc.ca/jobsearch/jobposting/37503574?source=searchresults,,,cleaner supervisor,,,,Tue Jan 24 2023 00:00:00 GMT+0100 (Central European Standard Time),Sat Apr 22 2023 10:55:20 GMT+0200 (Central European Summer Time),
6443a20af06ef68545e1383e,,white,calgary,cleaner,,29085445-2163-4562-bd78-c2b5db8d4010,,BEST - For A Cleaner World,,https://www.jobbank.gc.ca/jobsearch/jobposting/38154909?source=searchresults,,,cleaner,,,,Fri Apr 21 2023 00:00:00 GMT+0200 (Central European Summer Time),Sat Apr 22 2023 10:55:20 GMT+0200 (Central European Summer Time),
6443a210f06ef68545e13848,,white,calgary,cleaner,jobsite,perfectfurnance@gmail.com,,PERFECT FURNACE AND DUCT CLEANING LTD.,,https://www.jobbank.gc.ca/jobsearch/jobposting/38068538?source=searchresults,,,furnace cleaner,,,,Fri Apr 14 2023 00:00:00 GMT+0200 (Central European Summer Time),Sat Apr 22 2023 10:55:20 GMT+0200 (Central European Summer Time),
6443a21cf06ef68545e13856,,white,calgary,cleaner,jobsite,peopleandculture@ultrashine.com,,Ultra Shine Group Inc,http://www.ultrashine.com/,https://www.jobbank.gc.ca/jobsearch/jobposting/37503574?source=searchresults,,,cleaner supervisor,,,,Tue Jan 24 2023 00:00:00 GMT+0100 (Central European Standard Time),Sat Apr 22 2023 10:55:20 GMT+0200 (Central European Summer Time),
6443a21df06ef68545e13859,,white,calgary,cleaner,jobsite,kulwantchandanchana@yahoo.ca,,MSC BUILDING & CONSTRUCTION LTD.,,https://www.jobbank.gc.ca/jobsearch/jobposting/38104161?source=searchresults,,,construction cleaner,,,,Wed Apr 19 2023 00:00:00 GMT+0200 (Central European Summer Time),Sat Apr 22 2023 10:55:20 GMT+0200 (Central European Summer Time),
6443a21cf06ef68545e13855,,white,calgary,cleaner,jobsite,perfectfurnance@gmail.com,,PERFECT FURNACE AND DUCT CLEANING LTD.,,https://www.jobbank.gc.ca/jobsearch/jobposting/38068538?source=searchresults,,,furnace cleaner,,,,Fri Apr 14 2023 00:00:00 GMT+0200 (Central European Summer Time),Sat Apr 22 2023 10:55:20 GMT+0200 (Central European Summer Time),
6443a22cf06ef68545e1386d,,white,calgary,cleaner,jobsite,resumes@whitespotjanitorial.com,,White Spot Janitorial Services,,https://www.jobbank.gc.ca/jobsearch/jobposting/37592967?source=searchresults,,,cleaner supervisor,,,,Tue Feb 07 2023 00:00:00 GMT+0100 (Central European Standard Time),Sat Apr 22 2023 10:55:20 GMT+0200 (Central European Summer Time),
6443a22cf06ef68545e1386b,,white,calgary,cleaner,jobsite,dencacabinets@gmail.com,,Denca Distributors Ltd,http://www.denca.ca/,https://www.jobbank.gc.ca/jobsearch/jobposting/38142248?source=searchresults,,,"cleaner, plant",,,,Fri Apr 21 2023 00:00:00 GMT+0200 (Central European Summer Time),Sat Apr 22 2023 10:55:20 GMT+0200 (Central European Summer Time),
6443a22bf06ef68545e13864,,white,calgary,cleaner,jobsite,kulwantchandanchana@yahoo.ca,,MSC BUILDING & CONSTRUCTION LTD.,,https://www.jobbank.gc.ca/jobsearch/jobposting/38104161?source=searchresults,,,construction cleaner,,,,Wed Apr 19 2023 00:00:00 GMT+0200 (Central European Summer Time),Sat Apr 22 2023 10:55:20 GMT+0200 (Central European Summer Time),
6443a22cf06ef68545e1386c,,white,calgary,cleaner,jobsite,breathewellfurnace@gmail.com,,RP’S cleaning services corp,,https://www.jobbank.gc.ca/jobsearch/jobposting/37565195?source=searchresults,,,cleaner supervisor,,,,Thu Feb 02 2023 00:00:00 GMT+0100 (Central European Standard Time),Sat Apr 22 2023 10:55:20 GMT+0200 (Central European Summer Time),
6443a237f06ef68545e13878,,white,calgary,cleaner,jobsite,services.mr@outlook.com,,M AND R CLEANING SERVICES INC.,,https://www.jobbank.gc.ca/jobsearch/jobposting/38071790?source=searchresults,,,cleaner supervisor,,,,Fri Apr 14 2023 00:00:00 GMT+0200 (Central European Summer Time),Sat Apr 22 2023 10:55:20 GMT+0200 (Central European Summer Time),
